Treasure Class	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Gold	1						gld	1																			0
Jewelry A	1						rin	8	amu	4	jew	1	cm3	2	cm2	2	cm1	2									0
Jewelry B	1						rin	8	amu	4	jew	1	cm3	2	cm2	2	cm1	2									0
Jewelry C	1						rin	8	amu	4	jew	1	cm3	2	cm2	2	cm1	2									0
Chipped Gem	1						gcv	1	gcy	1	gcb	1	gcg	1	gcr	1	gcw	1	skc	1							0
Flawed Gem	1						gfv	1	gfy	1	gfb	1	gfg	1	gfr	1	gfw	1	skf	1							0
Normal Gem	1						gsv	1	gsy	1	gsb	1	gsg	1	gsr	1	gsw	1	sku	1							0
Flawless Gem	1						gzv	1	gly	1	glb	1	glg	1	glr	1	glw	1	skl	1							0
Perfect Gem	1						gpv	1	gpy	1	gpb	1	gpg	1	gpr	1	gpw	1	skz	1							0
Ammo	1						aqv	1	cqv	1																	0
Misc 0	1						key	3	tsc	3	isc	3	opl	2	gpl	2											0
Misc 1	1						key	3	tsc	3	isc	3	opm	2	gpm	2											0
Misc 2	1						key	3	tsc	3	isc	3	ops	2	gps	2											0
Hpotion 1	1						hp1	8	hp2	3	mp1	3	mp2	2	rvs	1											0
Hpotion 2	1						hp1	4	hp2	4	hp3	2	mp2	2	mp3	2	rvs	1									0
Hpotion 3	1						hp2	4	hp3	4	hp4	2	mp3	2	mp4	2	rvs	1									0
Hpotion 4	1						hp3	4	hp4	4	hp5	2	mp4	2	mp5	2	rvs	1									0
Hpotion 5	1						hp3	2	hp4	4	hp5	4	mp5	4	rvs	1											0
Hpotion 6	1						hp4	4	hp5	6	mp4	2	mp5	4	rvs	1											0
Potion 1	1						hp1	12	hp2	4	mp1	5	mp2	4	rvs	1	vps	4									0
Potion 2	1						hp1	4	hp2	8	hp3	5	mp2	2	mp3	5	rvs	1	vps	2	yps	3	wms	1			0
Potion 3	1						hp2	6	hp3	6	hp4	4	mp3	3	mp4	3	rvs	1	vps	2	yps	2	wms	1			0
Potion 4	1						hp3	6	hp4	6	hp5	4	mp4	3	mp5	3	rvs	1	vps	2	yps	2	wms	1			0
Potion 5	1						hp3	4	hp4	6	hp5	6	mp5	5	rvs	1	vps	2	yps	2	wms	1					0
Potion 6	1						hp4	6	hp5	8	mp4	1	mp5	5	rvs	1	vps	2	yps	2	wms	1					0
Runes 1	1						r01	3	r02	2																	
Runes 2	1						r03	3	r04	2	Runes 1	9															
Runes 3	1						r05	3	r06	2	Runes 2	20															
Runes 4	1						r07	3	r08	2	Runes 3	30															
Runes 5	1						r09	3	r10	2	Runes 4	50															
Runes 6	1						r11	3	r12	2	Runes 5	90															
Runes 7	1						r13	3	r14	2	Runes 6	170															
Runes 8	1						r15	3	r16	2	Runes 7	330															
Runes 9	1						r17	3	r18	2	Runes 8	650															
Runes 10	1						r19	3	r20	2	Runes 9	1290															
Runes 11	1						r21	3	r22	2	Runes 10	2570															
Runes 12	1						r23	3	r24	2	Runes 11	5130															
Runes 13	1						r25	3	r26	2	Runes 12	10250															
Runes 14	1						r27	3	r28	2	Runes 13	20340															
Runes 15	1						r29	3	r30	2	Runes 14	40970															
Runes 16	1						r31	3	r32	2	Runes 15	81880															
Runes 17	1						r33	1	Runes 16	32770																	
Act 1 Junk	1						Potion 1	8	Misc 0	4	Ammo	4															0
Act 2 Junk	1						Act 1 Junk	2	Potion 2	8	Misc 1	4	Ammo	4													0
Act 3 Junk	1						Act 2 Junk	2	Potion 3	8	Misc 2	4	Ammo	4													0
Act 4 Junk	1						Act 3 Junk	2	Potion 4	8	Misc 2	4	Ammo	4													0
Act 5 Junk	1						Act 4 Junk	2	Potion 5	8	Misc 2	4	Ammo	4													0
Act 1 (N) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 2 (N) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 3 (N) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 4 (N) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 5 (N) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 1 (H) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 2 (H) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 3 (H) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 4 (H) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 5 (H) Junk	1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4													0
Act 1 Equip A	1						weap3	7	armo3	7																	0
Act 1 Equip B	1						weap3	3	armo3	3	weap6	7	armo6	7													0
Act 1 Equip C	1						weap3	1	armo3	1	weap6	3	armo6	3	weap9	7	armo9	7	weap12	1	armo12	1					0
Act 2 Equip A	1						weap6	1	armo6	1	weap9	3	armo9	3	weap12	7	armo12	7	weap15	1	armo15	1	Act 1 Equip C	20			0
Act 2 Equip B	1						weap9	1	armo9	1	weap12	3	armo12	3	weap15	7	armo15	7	weap18	1	armo18	1	Act 2 Equip A	20			0
Act 2 Equip C	1						weap12	1	armo12	1	weap15	3	armo15	3	weap18	7	armo18	7	weap21	1	armo21	1	Act 2 Equip B	20			0
Act 3 Equip A	1						weap15	1	armo15	1	weap18	3	armo18	3	weap21	7	armo21	7	weap24	1	armo24	1	Act 2 Equip C	40			0
Act 3 Equip B	1						weap18	1	armo18	1	weap21	3	armo21	3	weap24	7	armo24	7	weap27	1	armo27	1	Act 3 Equip A	40			0
Act 3 Equip C	1						weap21	1	armo21	1	weap24	3	armo24	3	weap27	7	armo27	7	weap30	1	armo30	1	Act 3 Equip B	40			0
Act 4 Equip A	1						weap24	1	armo24	1	weap27	3	armo27	3	weap30	7	armo30	7	weap33	1	armo33	1	Act 3 Equip C	60			0
Act 4 Equip B	1						weap27	1	armo27	1	weap30	3	armo30	3	weap33	7	armo33	7	weap36	1	armo36	1	Act 4 Equip A	60			0
Act 5 Equip A	1						weap27	1	armo27	1	weap30	3	armo30	3	weap33	7	armo33	7	weap36	5	armo36	5	Act 4 Equip B	80			0
Act 5 Equip B	1						weap30	1	armo30	1	weap33	3	armo33	3	weap36	7	armo36	7	weap39	1	armo39	1	Act 5 Equip A	80			0
Act 5 Equip C	1						weap30	1	armo30	1	weap33	3	armo33	3	weap36	7	armo36	7	weap39	1	armo39	1	Act 5 Equip B	80			0
Act 1 (N) Equip A	1						weap30	1	armo30	1	weap33	3	armo33	3	weap36	7	armo36	7	weap39	5	armo39	5	Act 5 Equip C	100	Act 5 Equip B	100	0
Act 1 (N) Equip B	1						weap33	1	armo33	1	weap36	3	armo36	3	weap39	7	armo39	7	weap42	1	armo42	1	Act 1 (N) Equip A	110	Act 5 Equip B	110	0
Act 2 (N) Equip A	1						weap33	1	armo33	1	weap36	3	armo36	3	weap39	7	armo39	7	weap42	5	armo42	5	Act 1 (N) Equip B	120	Act 5 Equip B	120	0
Act 2 (N) Equip B	1						weap36	1	armo36	1	weap39	3	armo39	3	weap42	7	armo42	7	weap45	1	armo45	1	Act 2 (N) Equip A	130	Act 5 Equip B	130	0
Act 3 (N) Equip A	1						weap36	1	armo36	1	weap39	3	armo39	3	weap42	7	armo42	7	weap45	5	armo45	5	Act 2 (N) Equip B	140	Act 5 Equip B	140	0
Act 3 (N) Equip B	1						weap39	1	armo39	1	weap42	3	armo42	3	weap45	7	armo45	7	weap48	1	armo48	1	Act 3 (N) Equip A	150	Act 5 Equip B	150	0
Act 4 (N) Equip A	1						weap39	1	armo39	1	weap42	3	armo42	3	weap45	7	armo45	7	weap48	5	armo48	5	Act 3 (N) Equip B	160	Act 5 Equip B	160	0
Act 4 (N) Equip B	1						weap42	1	armo42	1	weap45	3	armo45	3	weap48	7	armo48	7	weap51	1	armo51	1	Act 4 (N) Equip A	170	Act 5 Equip B	170	0
Act 5 (N) Equip A	1						weap42	1	armo42	1	weap45	3	armo45	3	weap48	7	armo48	7	weap51	5	armo51	5	Act 4 (N) Equip B	180	Act 5 Equip B	180	0
Act 5 (N) Equip B	1						weap45	1	armo45	1	weap48	3	armo48	3	weap51	7	armo51	7	weap54	1	armo54	1	Act 5 (N) Equip A	190	Act 5 Equip B	190	0
Act 5 (N) Equip C	1						weap45	1	armo45	1	weap48	3	armo48	3	weap51	7	armo51	7	weap54	1	armo54	1	Act 5 (N) Equip B	200	Act 5 Equip B	200	0
Act 1 (H) Equip A	1						weap45	1	armo45	1	weap48	3	armo48	3	weap51	7	armo51	7	weap54	5	armo54	5	Act 5 (N) Equip C	210	Act 5 (N) Equip C	600	0
Act 1 (H) Equip B	1						weap48	1	armo48	1	weap51	3	armo51	3	weap54	7	armo54	7	weap57	1	armo57	1	Act 1 (H) Equip A	220	Act 5 (N) Equip C	640	0
Act 2 (H) Equip A	1						weap48	1	armo48	1	weap51	3	armo51	3	weap54	7	armo54	7	weap57	5	armo57	5	Act 1 (H) Equip B	230	Act 5 (N) Equip C	680	0
Act 2 (H) Equip B	1						weap51	1	armo51	1	weap54	3	armo54	3	weap57	7	armo57	7	weap60	1	armo60	1	Act 2 (H) Equip A	240	Act 5 (N) Equip C	720	0
Act 3 (H) Equip A	1						weap51	1	armo51	1	weap54	3	armo54	3	weap57	7	armo57	7	weap60	5	armo60	5	Act 2 (H) Equip B	250	Act 5 (N) Equip C	760	0
Act 3 (H) Equip B	1						weap54	1	armo54	1	weap57	3	armo57	3	weap60	7	armo60	7	weap63	1	armo63	1	Act 3 (H) Equip A	260	Act 5 (N) Equip C	800	0
Act 4 (H) Equip A	1						weap54	1	armo54	1	weap57	3	armo57	3	weap60	7	armo60	7	weap63	5	armo63	5	Act 3 (H) Equip B	270	Act 5 (N) Equip C	840	0
Act 4 (H) Equip B	1						weap57	1	armo57	1	weap60	3	armo60	3	weap63	7	armo63	7	weap66	1	armo66	1	Act 4 (H) Equip A	280	Act 5 (N) Equip C	880	0
Act 5 (H) Equip A	1						weap57	1	armo57	1	weap60	3	armo60	3	weap63	7	armo63	7	weap66	3	armo66	3	Act 4 (H) Equip B	290	Act 5 (N) Equip C	920	0
Act 5 (H) Equip B	1						weap57	1	armo57	1	weap60	3	armo60	3	weap63	7	armo63	7	weap66	5	armo66	5	Act 5 (H) Equip A	300	Act 5 (N) Equip C	960	0
Act 5 (H) Equip C	1						weap57	1	armo57	1	weap60	3	armo60	3	weap63	7	armo63	7	weap66	5	armo66	5	Act 5 (H) Equip B	310	Act 5 (N) Equip C	1000	0
Act 1 Melee A	1						mele3	7	armo3	7																	0
Act 1 Melee B	1						mele3	3	armo3	3	mele6	7	armo6	7													0
Act 1 Melee C	1						mele3	1	armo3	1	mele6	3	armo6	3	mele9	7	armo9	7	mele12	1	armo12	1					0
Act 2 Melee A	1						mele6	1	armo6	1	mele9	3	armo9	3	mele12	7	armo12	7	mele15	1	armo15	1	Act 1 Melee C	20			0
Act 2 Melee B	1						mele9	1	armo9	1	mele12	3	armo12	3	mele15	7	armo15	7	mele18	1	armo18	1	Act 2 Melee A	20			0
Act 2 Melee C	1						mele12	1	armo12	1	mele15	3	armo15	3	mele18	7	armo18	7	mele21	1	armo21	1	Act 2 Melee B	20			0
Act 3 Melee A	1						mele15	1	armo15	1	mele18	3	armo18	3	mele21	7	armo21	7	mele24	1	armo24	1	Act 2 Melee C	40			0
Act 3 Melee B	1						mele18	1	armo18	1	mele21	3	armo21	3	mele24	7	armo24	7	mele27	1	armo27	1	Act 3 Melee A	40			0
Act 3 Melee C	1						mele21	1	armo21	1	mele24	3	armo24	3	mele27	7	armo27	7	mele30	1	armo30	1	Act 3 Melee B	40			0
Act 4 Melee A	1						mele24	1	armo24	1	mele27	3	armo27	3	mele30	7	armo30	7	mele33	1	armo33	1	Act 3 Melee C	60			0
Act 4 Melee B	1						mele27	1	armo27	1	mele30	3	armo30	3	mele33	7	armo33	7	mele36	1	armo36	1	Act 4 Melee A	60			0
Act 5 Melee A	1						mele27	1	armo27	1	mele30	3	armo30	3	mele33	7	armo33	7	mele36	5	armo36	5	Act 4 Melee B	80			0
Act 5 Melee B	1						mele30	1	armo30	1	mele33	3	armo33	3	mele36	7	armo36	7	mele39	1	armo39	1	Act 5 Melee A	80			0
Act 5 Melee C	1						mele30	1	armo30	1	mele33	3	armo33	3	mele36	7	armo36	7	mele39	1	armo39	1	Act 5 Melee B	80			0
Act 1 (N) Melee A	1						mele30	1	armo30	1	mele33	3	armo33	3	mele36	7	armo36	7	mele39	5	armo39	5	Act 5 Melee C	100	Act 5 Melee B	100	0
Act 1 (N) Melee B	1						mele33	1	armo33	1	mele36	3	armo36	3	mele39	7	armo39	7	mele42	1	armo42	1	Act 1 (N) Melee A	110	Act 5 Melee B	110	0
Act 2 (N) Melee A	1						mele33	1	armo33	1	mele36	3	armo36	3	mele39	7	armo39	7	mele42	5	armo42	5	Act 1 (N) Melee B	120	Act 5 Melee B	120	0
Act 2 (N) Melee B	1						mele36	1	armo36	1	mele39	3	armo39	3	mele42	7	armo42	7	mele45	1	armo45	1	Act 2 (N) Melee A	130	Act 5 Melee B	130	0
Act 3 (N) Melee A	1						mele36	1	armo36	1	mele39	3	armo39	3	mele42	7	armo42	7	mele45	5	armo45	5	Act 2 (N) Melee B	140	Act 5 Melee B	140	0
Act 3 (N) Melee B	1						mele39	1	armo39	1	mele42	3	armo42	3	mele45	7	armo45	7	mele48	1	armo48	1	Act 3 (N) Melee A	150	Act 5 Melee B	150	0
Act 4 (N) Melee A	1						mele39	1	armo39	1	mele42	3	armo42	3	mele45	7	armo45	7	mele48	5	armo48	5	Act 3 (N) Melee B	160	Act 5 Melee B	160	0
Act 4 (N) Melee B	1						mele42	1	armo42	1	mele45	3	armo45	3	mele48	7	armo48	7	mele51	1	armo51	1	Act 4 (N) Melee A	170	Act 5 Melee B	170	0
Act 5 (N) Melee A	1						mele42	1	armo42	1	mele45	3	armo45	3	mele48	7	armo48	7	mele51	5	armo51	5	Act 4 (N) Melee B	180	Act 5 Melee B	180	0
Act 5 (N) Melee B	1						mele45	1	armo45	1	mele48	3	armo48	3	mele51	7	armo51	7	mele54	1	armo54	1	Act 5 (N) Melee A	190	Act 5 Melee B	190	0
Act 5 (N) Melee C	1						mele45	1	armo45	1	mele48	3	armo48	3	mele51	7	armo51	7	mele54	1	armo54	1	Act 5 (N) Melee B	200	Act 5 Melee B	200	0
Act 1 (H) Melee A	1						mele45	1	armo45	1	mele48	3	armo48	3	mele51	7	armo51	7	mele54	5	armo54	5	Act 5 (N) Melee C	210	Act 5 (N) Melee B	600	0
Act 1 (H) Melee B	1						mele48	1	armo48	1	mele51	3	armo51	3	mele54	7	armo54	7	mele57	1	armo57	1	Act 1 (H) Melee A	220	Act 5 (N) Melee B	640	0
Act 2 (H) Melee A	1						mele48	1	armo48	1	mele51	3	armo51	3	mele54	7	armo54	7	mele57	5	armo57	5	Act 1 (H) Melee B	230	Act 5 (N) Melee B	680	0
Act 2 (H) Melee B	1						mele51	1	armo51	1	mele54	3	armo54	3	mele57	7	armo57	7	mele60	1	armo60	1	Act 2 (H) Melee A	240	Act 5 (N) Melee B	720	0
Act 3 (H) Melee A	1						mele51	1	armo51	1	mele54	3	armo54	3	mele57	7	armo57	7	mele60	5	armo60	5	Act 2 (H) Melee B	250	Act 5 (N) Melee B	760	0
Act 3 (H) Melee B	1						mele54	1	armo54	1	mele57	3	armo57	3	mele60	7	armo60	7	mele63	1	armo63	1	Act 3 (H) Melee A	260	Act 5 (N) Melee B	800	0
Act 4 (H) Melee A	1						mele54	1	armo54	1	mele57	3	armo57	3	mele60	7	armo60	7	mele63	5	armo63	5	Act 3 (H) Melee B	270	Act 5 (N) Melee B	840	0
