Prop	Par	Min	Max	PropParType	ScoreMin	ScoreMax	ScoreLim	MinLvl	MaxLvl	LvlScale	NoTypeOvr	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Group	SynergyGroup	SourceItem	SourceFile	eol
ac		0	20	r	0	1						au9											[ES] The Mahim-Oak Curio (Code au9)		0
att		450	632	r=	45	63	5	50				xbow									110		RandomizeAdd8		0
att-skill	Fire Ball	20	10	scl		20		30															[ES] Todesfaelle Flamme		0
att%/lvl	32	0	0	lvl	4	28															111	ac	[ES]Merlin's Legacy full set	Sets	0
block1	0	10	65	r=	1	7	15														255	block	[ES]Dragon's Breach	UniqueItems	0
charged	Amplify Damage	3	8	sch		10		50															[ES] The Gavel of Pain		0
charged	Cloak of Shadows	30	7	sch		2		40															[ES] Darksight Helm		0
charged	Decrepify	30	5	sch	3	10																	[ES] Spellsteel		0
charged	Fire Wall	20	10	sch		1		50															[ES] Todesfaelle Flamme		0
charged	Firestorm	60	12	sch	1	4																	[ES] Spellsteel		0
charged	Frozen Orb	50	10	sch		3		40															[ES] Sureshrill Frost		0
charged	Holy Bolt	200	20	sch	0	2																	[ES] Spellsteel		0
charged	Howl	30	13	sch	30	15																	[ES] Blackhand Key		0
charged	Meteor	60	11	sch		100																	[ES] Moonfall		0
charged	Nova	80	15	sch		3		50															[ES] Baezil’s Vortex		0
charged	Poison Explosion	40	10	sch		2		50															[ES] Radimant’s Sphere		0
charged	Teleport	20	1	sch	1	5		40															[ES] Spellsteel		0
crush/lvl	12	0	0	lvl		150															205	dmg	[ES]The Butcher's Cleaver	UniqueItems	0
dmg-cold/lvl	24	0	0	lvl		64															204	cold	[ES]Poseidon's Trident	UniqueItems	0
dmg-elem-max		0	150	r		225	0																[ES]Claws of the Dragon	SetItems	0
dmg-elem-min		1	100	r		150	0																[ES]Claws of the Dragon	SetItems	0
dmg-fire/lvl	24	0	0	lvl		64															221	fire	[ES]Burning Sands	UniqueItems	0
dmg-ltng/lvl	24	0	0	lvl		64															227	ltng	[ES]Supercharged Rod	UniqueItems	0
dmg-mag/lvl	24	0	0	lvl		64															211	mag	[ES]Excalibur	UniqueItems	0
dmg-pois/lvl	24	0	0	lvl		120															236	pois	[ES]Throatslitter	UniqueItems	0
enr/lvl	4	0	0	lvl		30																	[ES]Phenom's Rule	UniqueItems	0
extra-mag2	0	3	50	r	3	125																	[ES]Lunar Charm	UniqueItems	0
fear				s		100																	[ES]Song of the Damned	UniqueItems	0
gethit-skill	Bone Prison	30	3	scl	1	30																	[ES] King Leoric		0
gethit-skill	Bone Spirit	5	10	scl	1	5																	[ES] King Leoric		0
gethit-skill	Charged Bolt	25	10	scl		20																	[ES] Stormrider		0
gethit-skill	ctcBlizzard	10	10	scl		100		40															[ES] Stormchaser		0
gethit-skill	ctcHydra	10	7	scl		40		44															[ES] Tiamat’s Rebuke		0
gethit-skill	Dim Vision	10	5	scl		2		40															[ES] Darksight Helm		0
gethit-skill	Frost Nova	20	10	scl	0	100																	[ES] Coldkill		0
gethit-skill	Holy Bolt	50	0	scl	1	5																	[ES] Boneslayer		0
gethit-skill	Iron Maiden	6	2	scl		1		50															[ES] The Gavel of Pain		0
