TypeCode	PBucket
2ax	1h
2hs	1h
72a	1h
72h	1h
7ax	1h
7b7	1h
7bs	1h
7cm	1h
7cr	1h
7fb	1h
7fc	1h
7gd	1h
7gs	1h
7ha	1h
7ls	1h
7mp	1h
7sb	1h
7sm	1h
7ss	1h
7wa	1h
7wd	1h
7wh	1h
92a	1h
92h	1h
9ax	1h
9b9	1h
9bs	1h
9cm	1h
9cr	1h
9fb	1h
9fc	1h
9gd	1h
9gs	1h
9ha	1h
9ls	1h
9mp	1h
9sb	1h
9sm	1h
9ss	1h
9wa	1h
9wd	1h
9wh	1h
axe	1h
bsd	1h
bsw	1h
clm	1h
club	1h
crs	1h
flb	1h
flc	1h
gis	1h
gsd	1h
hax	1h
hdm	1h
hfh	1h
knif	1h
lsd	1h
mace	1h
mpi	1h
sbr	1h
scm	1h
ssd	1h
wax	1h
whm	1h
wsd	1h
7ba	2h
7bt	2h
7ga	2h
7gi	2h
7gm	2h
7la	2h
7m7	2h
9ba	2h
9bt	2h
9ga	2h
9gi	2h
9gm	2h
9la	2h
9m9	2h
bax	2h
btx	2h
gax	2h
gix	2h
gma	2h
lax	2h
mau	2h
pole	2h
spea	2h
abow	amaz
ajav	amaz
amaz	amaz
aspe	amaz
amu	amul
assn	assn
cloa	assn
h2h	assn
h2h2	assn
barb	barb
phlm	barb
belt	belt
boot	boot
bow	bow
xbow	bow
char	char
lcha	char
mcha	char
scha	char
circ	circ
jave	comb
taxe	comb
tkni	comb
drui	drui
pelt	drui
glov	glov
helm	helm
head	necr
necr	necr
ashd	pala
pala	pala
rin	ring
scep	scep
shld	shld
orb	sorc
sorc	sorc
staf	staf
tors	tors
tpot	tpot
wand	wand
vip	quest
cm1	char
cm2	char
cm3	char
jew	jewl
mele	1h
swor	1h
axe	1h
miss	bow
weap	1h
fset	fset
